Scheda,Scheda#,Amministrazione,URLdataset,URLsezione,Formato File
AttiConcessioneAgrigento,AttiConcessioneAgrigento,Agrigento,http://www.comune.agrigento.it/index.php/component/content/article/226-sovvenzioni-contributi-sussidi-vantaggi-economi/2923-atti-di-concessione,http://www.contrasparenza.it/id11-arg126-det73532-Atti-di-concessione-%28art.-26%2C-c.-2-e-art.-27%29,Html tabellare
AttiConcessioneAlessandria,AttiConcessioneAlessandria,Alessandria,http://www.comune.alessandria.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/10261,http://www.comune.alessandria.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/10261,Html
AttiConcessioneAncona,AttiConcessioneAncona,Ancona,http://comancona8.comune.ancona.it/ammaperta/atti_ges.aspx,http://comancona8.comune.ancona.it/ammaperta/,Csv
AttiConcessioneAndria,AttiConcessioneAndria,Andria,http://www.comune.andria.bt.it/dett_at.asp?id=120,http://www.comune.andria.bt.it/at2.asp?id2=40,Csv
AttiConcessioneAosta,AttiConcessioneAosta,Aosta,http://trasparenza.partout.it/wrapper/download/4494,http://trasparenza.partout.it/wrapper/download/4494,Ods
AttiConcessioneArezzo,AttiConcessioneArezzo,Arezzo,http://www.comune.arezzo.it/il-comune/segreteria-generale/segreteria-generale/trasparenza-valutazione-merito/atti-di-concessione-1/copy_of_area-compensi/@@csv_export,http://www.comune.arezzo.it/il-comune/segreteria-generale/segreteria-generale/trasparenza-valutazione-merito/atti-di-concessione-1,Csv
AttiConcessioneAscoliPiceno,AttiConcessioneAscoliPiceno,Ascoli Piceno,http://www.comuneap.gov.it/flex/cm/pages/ServeAttachment.php/L/IT/D/a%252F7%252Fc%252FD.fcef788682fdc19989bd/P/BLOB%3AID%3D5825,http://www.comuneap.gov.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/5825,Odt
AttiConcessioneAsti,AttiConcessioneAsti,Asti,http://asti.etrasparenza.it/export_open_data_csv.php?id_criterio=127&id_oggetto=38&id_ente=15,,Csv
AttiConcessioneBari,AttiConcessioneBari,Bari,http://www.comune.bari.it/portal/page/portal/bari/comune/amministrazioneTrasparente/sovvenzioniContributiCreditiSussidiCorrispettivi/attiDiConcessione,http://www.comune.bari.it/portal/page/portal/bari/comune/amministrazioneTrasparente/sovvenzioniContributiCreditiSussidiCorrispettivi/attiDiConcessione,Html
AttiConcessioneBarletta,AttiConcessioneBarletta,Barletta,http://www.comune.barletta.ba.it/retecivica/organiz/trasp/schede_liquid/procedura/index.php,http://www.comune.barletta.ba.it/retecivica/ammtrasp/12.sovvenzioni.html,Html tabellare
AttiConcessioneBenevento,AttiConcessioneBenevento,Benevento,http://www.comunebenevento.eu:8085/JSFService/faces/trasparenza/TRASP_visualizzazione.xhtml,http://www.comune.benevento.it/bn2_pagine/trasparenza/12Sovvenzioni/Atti_concessione.php,Csv
AttiConcessioneBergamo,AttiConcessioneBergamo,Bergamo,http://www.comune.bergamo.it/servizi/menu/dinamica.aspx?idArea=41289&idCat=42050&ID=50024,http://www.comune.bergamo.it/servizi/Menu/dinamica.aspx?idSezione=29195&idArea=41289&idCat=42050&ID=42050&TipoElemento=categoria,Xls
AttiConcessioneBiella,AttiConcessioneBiella,Biella,http://95.110.132.64/biellawebdelibere/AmministrazioneTrasparente.aspx?Tipo=0001,http://www.comune.biella.it/sito/index.php?atti-di-concessione,Csv
AttiConcessioneBologna,AttiConcessioneBologna,Bologna,http://www.comune.bologna.it/media/files/concessioni_agevolazioni__finanziarie_2013.ods,http://www.comune.bologna.it/trasparenza/contenuti/161:16296/,Ods
AttiConcessioneBolzano,AttiConcessioneBolzano,Bolzano,http://www.comune.bolzano.it/prog/assegnazioni/assegnazioni.php?token=7a7bf2b3728c460c8170c0ee339be585&action=elenca_inc_pubblico,http://www.comune.bolzano.it/prog/assegnazioni/assegnazioni.php?token=6c699f1b44ad9b64227f6861a5562782&action=cerca_inc_pubblico,Html tabellare
AttiConcessioneBrescia,AttiConcessioneBrescia,Brescia,http://www.comune.brescia.it/trasparenza/sovvenzioni/atti/Pagine/Atti-di-concessione-di-sovvenzioni-e-contributi---anno-2014.aspx,http://www.comune.brescia.it/trasparenza/sovvenzioni/atti,Html tabellare
AttiConcessioneBrindisi,AttiConcessioneBrindisi,Brindisi,http://www.comune.brindisi.it/web/images/documenti/amministrazionetrasparente/sovvenzioni/atticoncessione/contributi_OrganiIstituzionali.pdf,http://www.comune.brindisi.it/web/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione.html,Pdf vettoriale
AttiConcessioneCagliari,AttiConcessioneCagliari,Cagliari,http://www.comune.cagliari.it/portale/do/content/FrontEnd/Export/exportCsv.action,http://www.comune.cagliari.it/portale/it/trasparenza_sovv_atti.page,Csv
AttiConcessioneCampobasso,AttiConcessioneCampobasso,Campobasso,http://83.221.106.82/campobasso2/zf/index.php/trasparenza/index/index/categoria/63,http://www.comune.campobasso.it/sa/sa_p_testo.php?x=&idservizio=10086&idtesto=342&idfoto=&&nodo=nodo11,Pdf vettoriale
AttiConcessioneCarbonia,AttiConcessioneCarbonia,Carbonia,http://www.comune.carbonia.ci.it/urbiportal/protected/documents/11076,http://www.comune.carbonia.ci.it/urbiportal/content/it_IT/5698.html,Pdf vettoriale
AttiConcessioneCaserta,AttiConcessioneCaserta,Caserta,http://trasparenza.comune.caserta.it/export_open_data_csv.php?id_criterio=127&id_oggetto=38&id_ente=2,http://trasparenza.comune.caserta.it/pagina48_atti-di-concessione.html,Csv
AttiConcessioneCatania,AttiConcessioneCatania,Catania,http://www.comune.catania.it/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/allegati-2014/sovvenzioni-comct-20140715.pdf,http://www.comune.catania.it/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione.aspx,Pdf vettoriale
AttiConcessioneCesena,AttiConcessioneCesena,Cesena,https://servizi.comune.cesena.fc.it/applicazioniweb/consultazioneAtti/documenti/home.0.2,http://www.comune.cesena.fc.it/amministrazionetrasparente/sovvenzioni,Html tabellare
AttiConcessioneChieti,AttiConcessioneChieti,Chieti,http://www.comune.chieti.gov.it/images/pdf/V%20Settore.xls,http://www.comune.chieti.gov.it/index.php/trasparenza-valutazione-e-merito/amministrazione-aperta-art-18-d-l-134-2012.html,Xls
AttiConcessioneCiriè,AttiConcessioneCiriè,Ciriè,http://www.cirie.net/documenti/MODELLI%20E%20DOCUMENTI/SOVVENZIONI%20E%20CONTRIBUTI/Atti%20di%20concessione/2014/TABELLA%20BENEFICI%20ECONOMICI%202014.pdf,http://www.cirie.net/trasparenza/index.php/atti-di-concessione,Pdf vettoriale
