Record Type,Object ID,Object Title,Object Work Type,Alternate Object ID,Artist Name,Artist Birth Date,Artist Death Date,Artist Nationality,Role Type,Object Earliest Date,Object Latest Date,Object Earliest Date Display,Object Latest Date Display,Object Rights,Object Facet Label 1,Object Facet Value 1,Object Facet Label 2,Object Facet Value 2,Object Facet Label 3,Object Facet Value 3,Object Facet Label 4,Object Facet Value 4,Object Link Source,Measurement Height,Measurement Width,Measurement Depth,Measurement Units,dimensions
Object,1931.6,Stream in the Mountains,Paintings,"3,285,168",George Inness,1825,1894,American,Artist,1825,1875,c. 1850,c. 1850,"Dallas Museum of Art, bequest of Cecil A. Keating",Medium,Oil on canvas,,,,,,,Dallas Museum of Art,91.12,128.91,,cm,91.12 x 128.91 cm
Object,1935.7,Art Beauty Shoppe,Paintings,"3,233,442",Isaac Soyer,1907,1981,American,Artist,1934,1934,1934,1934,"Dallas Museum of Art, gift of the Public Works of Art Project",Medium,Oil on canvas,,,,,,,Dallas Museum of Art,106.68,125.73,,cm,106.68 x 125.73 cm
Object,1937.1,Share Cropper,Paintings,"3,320,396",Jerry Bywaters,1906,1989,American,Artist,1937,1937,1937,1937,"Dallas Museum of Art, Allied Arts Civic Prize, Eighth Annual Dallas Allied Arts Exhibition, 1937",Medium,Oil on Masonite,,,,,,,Dallas Museum of Art,74.29,59.69,,cm,74.29 x 59.69 cm
Object,1940.17,Cypress Fen,Paintings,"3,056,590",William Lester,1910,1991,American,Artist,1935,1945,c. 1940,c. 1940,"Dallas Museum of Art, Kiest Fund Prize, Eleventh Annual Dallas Allied Arts Exhibition, 1940",Medium,Oil on masonite,,,,,,,Dallas Museum of Art,56.83,70.82,,cm,56.83 x 70.82 cm
Object,1945.1,Prodigal Son,Paintings,"5,303,880",Thomas Hart Benton,1889,1975,American,Artist,1934,1941,c. 1939-1941,c. 1939-1941,"Dallas Museum of Art, Dallas Art Association Purchase",Medium,Oil and tempera on panel,,,,,,,Dallas Museum of Art,66.36,77.47,8.26,cm,66.36 x 77.47 x 8.26 cm
Object,1945.6,Drouth Stricken Area,Paintings,"4,134,413",Alexandre Hogue,1898,1994,American,Artist,1934,1934,1934,1934,"Dallas Museum of Art, Dallas Art Association Purchase",Medium,Oil on canvas,,,,,,,Dallas Museum of Art,76.2,107.32,,cm,76.2 x 107.32 cm
Object,1950.50.M,"An Indian Paradise (Green River, Wyoming)",Paintings,"4,110,584",Thomas Moran,1837,1926,American,Artist,1911,1911,1911,1911,"Dallas Museum of Art, Munger Fund",Medium,Oil on canvas,,,,,,,Dallas Museum of Art,76.2,101.6,,cm,76.2 x 101.6 cm
Object,1950.91,Leadbelly,Sculpture,"3,058,187",Michael G. Owen Jr.,1915,1976,American,Artist,1943,1943,1943,1943,"Dallas Museum of Art, Mr. and Mrs. Tom Gooch Fund Purchase Prize, Twelfth Annual Texas Painting and Sculpture, 1950-1951",Medium,Black serpentine,,,,,,,Dallas Museum of Art,30.48,29.21,24.13,cm,30.48 x 29.21 x 24.13 cm
Object,1951.9,Summer Foliage,Paintings,"4,241,345",George Inness,1825,1894,American,Artist,1883,1883,1883,1883,"Dallas Museum of Art, bequest of Joel T. Howard",Medium,Oil on canvas,,,,,,,Dallas Museum of Art,76.2,113.03,,cm,76.2 x 113.03 cm
Object,1951.41,Duck Island,Paintings,"5,064,007",Childe Hassam,1859,1935,American,Artist,1906,1906,1906,1906,"Dallas Museum of Art, bequest of Joel T. Howard",Medium,Oil on canvas,,,,,,,Dallas Museum of Art,70.49,96.52,,cm,70.49 x 96.52 cm
