Media,ObjectID,Object Number,Sort Number,Department,Classification,Culture,Period,Attribution,Alpha Sort,Object Name,Title,Dated,Begin Date,Medium,Dimensions,Description
16,14685,5437.4396,5437  4396,Anthropology,(not assigned),Hopi Tewa,,Nampeyo,Nampeyo,Olla,,late 19th-early 20th Century,1880,"clay, slip","Height: 8” Diameter of shoulders: 14” Diameter of lip: 6”","The object is a buff colored polychrome olla with four decorated areas, featuring two motifs which alternate, symmetrically, around the olla’s circumference"
0,14761,5444.7266,5444  7266,Anthropology,(not assigned),,,,,Vessel,,-100--100,-1000,Clay,,vessel - Clay - Mexico
0,41690,5444.7749,5444  7749,Anthropology,"Anth- Ceramic, Plaster",,,,,Figure,Seated Human Figure,,0,Ceramic,,"This is a ceramic, seated human figure."
0,14773,5445.1705,5445  1705,Anthropology,(not assigned),,,,,Burner,,700-700,700,Ceramic,,burner - ceramic
0,41689,5645.223,5645   223,Anthropology,Anth- Gold,,,,,Plaque,Plaque With Design of Two Tigers,,0,Gold,,This item is a gold plaque with a design of two tigers.
0,16650,6124.1140,6124  1140,Anthropology,(not assigned),,,,,Pipe Bowl,,-100--100,-1000,Stone,,pipe bowl - Stone
0,18529,7137.236,7137   236,Anthropology,(not assigned),,,,,Basket,,1900-1900,1900,Coiled/Willow/Devil'S Claw,Overall: 4 1/2 in. (11.4 cm),basket - coiled | Willow | devil's claw - Pima
0,41691,8926.49,8926    49,Anthropology,Anth- Hide,(Sioux) Plains,,,,Hide,Painted Hide,,0,Painted Hide,,"This is a painted buffalo hide with fur.  On the hide, there are pictograph drawings depicting varied events, which include:  Sun Dance, buffalo hunt, ceremonial dance, women with baby cradles, parfleche, travais, dog with travais, courting, tipis, two wh"
0,25499,9736.94,9736    94,Anthropology,(not assigned),,,,,,,,0,,,
0,41698,2475.144,2475   144,ArchivalCollection,Arc- Book,,,,,Book,"Isles Newly Found in the Great Sea in the Time of the King of Spain Ferdinand and Elizabeth, his wife.",1532,0,,,"This is an Extract or Collection of 3 of the Isles Newly Found in the Great Sea in the time of the King of Spain Ferdinand and Elizabeth, his wife.  (1 on Cuba, 1 on Atlantic, and 1 on Cortes)  Author is Pierre Martyr de Millan."
0,41699,2476.169,2476   169,ArchivalCollection,Arc- Book,,,,,Book,"The Voyages to Western New France, called Canada, Made by Le Sr. De Champlain, Captain for the King in the Navy of Ponant, and all the Discoveries He Made from 1603 to 1629.",1632,0,,,"This is a book about Champlain's voyages to Western New France (called Canada) from 1603 to 1629.  The publisher is Louis SEVESTRE, Paris - Church No. 420; Sabin No. 11839."
0,41700,2576.2023,2576  2023,ArchivalCollection,Arc- Book,,,,,Book,"Account of What Happened at the Mission of the Fathers of the Company of Jesus in the Hurons, a Country of New France, Between the Years of 1648 and 1649.",1650,0,,,"This is a book of the account of what happened at the Mission of the Fathers of the Company of Jesus in the Hurons, a country of New France, between the years 1648 and 1649.  The author is Fr. Paul Ragueneau.  It also includes a report sent to the Rev. Fr"
0,26784,2716.37,2716    37,ArchivalCollection,(not assigned),,,,,,,,0,,,
0,41703,3527.413,3527   413,ArchivalCollection,Arc- Broadside,,,,,Announcement,Announcement of the 1883 Expedition into Oklahoma,1883,0,,,"This is an announcement of the 1883 expedition into Oklahoma.  It is very rare.  (Payne, D.L. - Oklahoma Colony)"
0,41702,3826.764,3826   764,ArchivalCollection,Arc- Letter,,,,,Telegram,George Custer Telegram,"Mar. 4, 1876",0,Paper,,"This is a telegram written by George A. Custer to Lawrence Bonnett; it is written on a Western Union form.  It says, ""We start to meet Sitting Bull tomorrow will reach Lincoln Monday"""
0,14119,4026.312,4026   312,ArchivalCollection,(not assigned),,,,,,,,0,,,
0,27875,4026.899,4026   899,ArchivalCollection,Arc- Manuscript,,,,,Manuscript,Articles of Confederation 1777,1777,1777,,,"manuscript - Articles of Confederation 1777 - paper Paper"
0,27245,4026.900,4026   900,ArchivalCollection,Arc- Manuscript,,,,,Manuscript,Paul Revere Certification 1775,1775,1775,,,"manuscript - Paul Revere Certification 1775 - paper Paper"
0,27554,4026.901,4026   901,ArchivalCollection,Arc- Manuscript,,,,,Manuscript,Declaration of Independence 1777,1777,1777,,,"manuscript - Declaration of Independence 1777 - paper Paper"
0,41694,4026.1531,4026  1531,ArchivalCollection,Arc- Manuscript,,,,,,Petition to John J. Floyd from Thomas Jones,"June 13, 1863",0,Paper,,"This is a petition to John J. Floyd (Judge, Georgia Supreme Court) from Thomas Jones on behalf of Sarah Harris and writ of Habeas corpus."
0,34698,4026.5259,4026  5259,ArchivalCollection,Arc- Manuscript,,,,,Book,Algonquin Manuscript - 1645,1645,1645,,,"Hand-bound document written in French, entitled “Relation du Voyage en l’annee 1645 au Nom du Roy au Pays des Algoumequins Dans la Novelle France ou Canada, et de la maniere de vivre des sauvages” (Narrative of the Voyage made in year 1645 in Name of King"
0,26225,4026.8435,4026  8435,ArchivalCollection,(not assigned),,,,,,,,0,,,
1,26261,4075.67,4075    67,ArchivalCollection,Arc- Manuscript,,,,,Manuscript,Letter to Archbishop Cisneros 1512,,0,,,"Paper Columbus, Diego"
0,27198,4075.3916,4075  3916,ArchivalCollection,Arc- Manuscript,,,,,Manuscript,Cortez Decree 1521,1521,1521,,,"manuscript - cortez - Cortez Decree 1521 cortez"
0,27921,4075.3918,4075  3918,ArchivalCollection,Arc- Manuscript,,,,,Manuscript,Letter to King Charles V,1519,0,Paper,,"This is a letter from Diego Columbus to Charles V, in which Diego outlines his future plans for colonization of the Spanish Indies.  He also voices his support of the crusade of the Spanish Friar, las Casas, who was at that time in Spain, campaigning for"
0,41692,4076.3914,4076  3914,ArchivalCollection,Arc- Manuscript,,,,,Letter,Letter from Benjamin Franklin and Silas Deane to Baron de Schulenburg,"Feb 14, 1777",0,Paper,,"This is a letter from Benjamin Franklin and Silas Deane, ""Commissioners Plenipotentiary for the U.S. of No. America,"" to Baron de Schulenburg."
0,41717,4126.121,4126   121,ArchivalCollection,Arc- Newspaper,,,,,Newspaper,The Cherokee Advocate,"Feb. 26, 1898",1898,Paper,,"The Cherokee Advocate newspaper from Feb. 26, 1898."
1,28369,4326.3522,4326  3522,ArchivalCollection,Arc- Photograph,,,William S. Prettyman,"Prettyman, William S.","Print, Photographic",Sooners passing through Cherokee Outlet,,0,,"Print Size: 6.75"" x 9.25""",Sepia-colored photograph of Sooners passing through Cherokee outlet waiting to cross swollen Salt Fork River railroad bridge seen at right.
0,41704,4327.8698,4327  8698,ArchivalCollection,Arc- Photograph,,,,,Postcard,Photo Postcard,,0,Paper,,"This is a photo postcard, printed in color with a reproduction of a Charley Russell watercolor of a saloon scene with three men lounging at a bar while another fires at the feet of still another.  Words at the bottom read, ""Dance! you short-horn dance!"""
0,27460,4526.11,4526    11,ArchivalCollection,(not assigned),,,,,Book,Ft. Reno ledgerbook,,0,,,"book - unknown - Ft. Reno ledgerbook - drawings Drawings unknown"
0,27232,4726.7,4726     7,ArchivalCollection,(not assigned),,,,,Sketch Book,Codex Canadiensis,,0,,,"sketch book - Codex Canadiensis - paper Paper"
0,41693,4826.17,4826    17,ArchivalCollection,Arc- Treaty,,,,,Treaty,Confederate Treaty,"July 12, 1861",0,Paper,,"This is a Confederate Treaty (Albert Pike, Commissioner for Confederate States) signed by representatives of the Choctaw and Chickasaw Nations."
0,41696,5126.166,5126   166,ArchivalCollection,Arc- Brochure,,,,,Money,Confederate 20 Dollar Bill,"Sept. 2, 1861",0,Paper,,Confederate 20 Dollar Bill
0,41697,5126.184,5126   184,ArchivalCollection,Arc- Brochure,,,,,Discharge Paper,Discharge Paper for Sidney S. Dailey,Aug. 1865,0,Paper,,This is a discharge paper for Sidney S. Dailey from military service.
0,41718,5345.822,5345   822,ArchivalCollection,Art- Miscellaneous,,,,,Book,Doctrina Cristiana,1543,1543,Paper,,Doctrina Cristiana (Christian doctrine) is one of the first books printed in the America’s.  The Doctrina Cristiana was a text used by a bishop and other church officials to spread Christian theology to the native peoples.  Bishop Juan de Zumarraga is lis
0,41716,H.D. 142,H     D       142,ArchivalCollection,Arc- Miscellaneous,,,,,Diego Truxillo Account,Diego Truxillo Account of the Conquest of Peru,1532,1532,Paper,,"Conquistador Diego de Trujillo’s (Truxillo) eyewitness account of the conquest of the Inca’s in Peru by Spain in the year 1532.  Trujillo describes the climate, food, and the native peoples."
1,13182,01.2521,1  2521,Art,Art- Painting,,,Georgia O'Keefe,"O'Keefe, Georgia",Painting,Antelope Head with Perdenal,,0,Oil on Canvas,32 1/2 x 36 1/4 x 3 1/2 in. (82.6 x 92.1 x 8.9 cm),"Oil on canvas by Georgia O'Keeffe.  Descriptive title ""Antelope Head with Perdenal."""
0,13213,01.2553,1  2553,Art,Art- Painting,,,Alfredo Zalce,"Zalce, Alfredo",Painting,Mercado de Flores,1996,1996,Oil on Canvas,,"Zalce, Alfredo ""Mercado de Flores"" oil on canvas"
1,4167,08.206,8   206,Art,Art- Sculpture,,,Sandy Scott,"Scott, Sandy",Bronze Sculpture,Above It All,1998,1998,Bronze,,Outdoor bronze sculpture of an eagle with outstretched wings by Sandy Scott.
0,40966,08.210,8   210,Art,Art- Sculpture,,,,,Bronze,Large Heron Pair,,0,Bronze,,
0,40964,08.212,8   212,Art,Art- Sculpture,,,Jim Agius,"Agius, Jim",Bronze,Plains Grizzly (Black Bear),,0,Bronze,,
0,4171,08.213,8   213,Art,Art- Sculpture,,,Forest Hart,"Hart, Forest",Bronze Sculpture,Twins,1996,1996,Bronze,,"Bronze sculpture by Forest Hart, entitled ""Twins.""  Sculpture of a whitetail doe listening intently as her two small fawns explore about her legs."
0,40968,08.214,8   214,Art,Art- Sculpture,,,,,Bronze,The Strength of the Maker,,0,Bronze,,
0,40971,08.215,8   215,Art,Art- Sculpture,,,Jay Philip O'Meilia,"O'Meilia, Jay Philip",Bronze,Frontier Woman,,0,Bronze,,
1,4172,08.217,8   217,Art,Art- Sculpture,,,Silvestre Chacon,"Chacon, Silvestre",Bronze Sculpture,Simon Bolivar,,0,Bronze,,"Bronze bust of Columbian President Sim=n Bolfvar (1783-1830) by Silvestre Chac=n.  Bolivar was known as ""El Liberator"" by the people of South America, where he helped to liberate Venezuela, Columbia, Ecuador and Bolivia, the latter of which he is the name"
1,13323,0116.2077,116  2077,Art,Art- Painting,,,William Keith,"Keith, William",Oil Painting,Sierra Nevada Mountains,1876,1876,Oil on Canvas,Overall: 40 x 71 3/4 x 3 1/4 in. (101.6 x 182.2 x 8.3 cm),"Keith, William - Sierra Nevada Mountains - oil on canvas."
1,256,0126.727,126   727,Art,Art- Painting,,,Alfred Jacob Miller,"Miller, Alfred Jacob",Oil Painting,Fort Laramie,1851,1851,Oil on canvas,Overall: 24 1/8 x 33 x 3 1/2 in. (61.3 x 83.8 x 8.9 cm),"Miller, Alfred Jacob - Fort Laramie - oil on canvas."
1,260,0126.731,126   731,Art,Art- Painting,,,Alfred Jacob Miller,"Miller, Alfred Jacob",Oil Painting,Snake and Sioux Indians on Warpath,1856-1856,1856,Oil on canvas,Overall: 33 1/2 x 40 1/2 x 2 in. (85.1 x 102.9 x 5.1 cm),"Miller, Alfred Jacob - Snake and Sioux Indians on Warpath - oil | canvas"
1,13437,0126.1006,126  1006,Art,Art- Painting,,,Charles Willson Peale,"Peale, Charles Willson",Oil Painting,James Madison,,0,Oil on Canvas,Overall: 36 1/4 x 31 1/2 x 3 in. (92.1 x 80 x 7.6 cm),"""James Madison"" by Charles Willson Peale, oil on canvas.  Maker's Mark/Inscription: On verso, ""Jas. Madison, P.U.S., C.W. Peale, pinx."" Inscribed in C.W. Peale's hand in u.l. corner beyond the oval, ""58.""  Portrait image of Madison's head and shoulders, w"
1,13438,0126.1007,126  1007,Art,Art- Painting,,,John Wesley Jarvis,"Jarvis, John Wesley",Oil Painting,Black Hawk and His Son Whirling Thunder,1833,1833,Oil on Canvas,Overall: 29 5/8 x 4 1/8 x 36 in. (75.2 x 10.5 x 91.4 cm),"Jarvis, John Wesley - Black Hawk and His Son Whirling Thunder - oil on canvas.
0,13495,0126.1179,126  1179,Art,Art- Painting,,,Albert Bierstadt,"Bierstadt, Albert",Oil Painting,"Western Landscape, Mountain Scene and River",,0,Oil on Canvas,Overall: 18 5/8 x 24 5/8 x 2 5/8 in. (47.3 x 62.5 x 6.7 cm),"Bierstadt, Albert - Western Landscape, Mountain Scene and River - oil | canvas"
1,13504,0126.1189,126  1189,Art,Art- Painting,,,George de Forrest Brush,"Brush, George de Forrest",Oil Painting,Mourning Her Brave,1883,1883,Oil on Panel,Overall: 45 3/8 x 35 3/8 x 3 3/4 in. (115.3 x 89.9 x 9.5 cm),"Brush, George de Forrest - Mourning Her Brave - oil on panel.  Image of an American Indian woman standing on a snowy cliff, barefoot.  Above her lies the wrapped body of her deceased mate, and birds fly in the hazy gray sky."
3,13507,0126.1193,126  1193,Art,Art- Painting,,,Charles Bird King,"King, Charles Bird",Oil Painting,David Vann,,0,Oil on wood panel,Overall: 23 1/2 x 20 x 2 1/4 in. (59.7 x 50.8 x 5.7 cm),"King, Charles Bird - David Vann - oil | wood panel"
1,13534,0126.1233,126  1233,Art,Art- Painting,,,William Tylee Ranney,"Ranney, William Tylee",Oil Painting,Boone's First View of Kentucky,1849,1849,Oil on Canvas,Overall: 41 3/4 x 59 5/8 x 3 in. (106 x 151.4 x 7.6 cm),"Ranney, William Tylee - Boone's First View of Kentucky - oil | canvas"
1,195,0126.2260,126  2260,Art,Art- Painting,,,George Inness,"Inness, George",Oil Painting,A Windy Day,1883-1883,1883,Oil,Overall: 19 1/4 x 29 1/2 x 3 5/8 in. (48.9 x 74.9 x 9.2 cm),"Inness, George - Windy Day / A - oil"
1,199,0126.2264,126  2264,Art,Art- Painting,,,Winslow Homer,"Homer, Winslow",Oil Painting,Watching the Breakers,1891,1891,Oil on Canvas,37 x 47 x 3 1/2 in. (94 x 119.4 x 8.9 cm),"""Watching the Breakers"" by Winslow Homer, oil on canvas.  Image of two women in 1890's period clothing standing on a rocky shoreline while white waves crash by and around them.  The woman on the left carries a basket, the woman on the right holds a red bl"
1,204,0126.2305,126  2305,Art,Art- Painting,,,Albert Bierstadt,"Bierstadt, Albert",Oil Painting,Sierra Nevada Morning,1870,1870,Oil on Canvas,Overall: 71 x 101 x 4 in. (180.3 x 256.5 x 10.2 cm),"Bierstadt, Albert - Sierra Nevada Morning - oil on canvas."
1,205,0126.2315,126  2315,Art,Art- Painting,,,Thomas Eakins,"Eakins, Thomas",Oil Painting,Frank Hamilton Cushing,1895,1895,Oil on Canvas,Overall: 90 x 60 in. (228.6 x 152.4 cm),"""Frank Hamilton Cushing"" by Thomas Eakins, oil on canvas.  Image of Cushing in American Indian clothing with associated implements on wall behind him."
1,212,0126.2322,126  2322,Art,Art- Painting,,,John James Audubon,"Audubon, John James",Oil Painting,The Wild Turkey,1845,1845,Oil on Canvas,Overall: 53 1/4 x 40 1/2 x 4 in. (135.3 x 102.9 x 10.2 cm),"Audubon, John James - The Wild Turkey - oil | canvas"
2,216,0126.2339,126  2339,Art,Art- Painting,"American, born England",,Thomas Moran,"Moran, Thomas",Oil Painting,Shoshone Falls on the Snake River,1900,1900,Oil on Canvas,Overall: 71 x 144 1/2 x 4 3/4 in. (180.3 x 367 x 12.1 cm),"Moran, Thomas - Shoshone Falls on the Snake River - oil | canvas"
1,299,0127.1090,127  1090,Art,Art- Painting,,,Frank Tenney Johnson,"Johnson, Frank Tenney",Oil Painting,California or Oregon,1926,1926,Oil on Canvas,Overall: 36 3/8 x 2 5/8 x 46 1/2 in. (92.4 x 6.7 x 118.1 cm),"Johnson, Frank Tenney - California or Oregon - oil on canvas.  Image of a man sitting atop a wagon pulled by two horses.  The man is facing the left of the image.  Standing near the wagon is a dog looking to the right.  In the background are hills and a r"
1,315,0127.1225,127  1225,Art,Art- Painting,,,Henry F. Farny,"Farny, Henry F.",Oil Painting,The Sorcerer,1903,1903,Oil on Canvas,Overall: 32 1/8 x 50 1/8 x 4 1/4 in. (81.6 x 127.3 x 10.8 cm),"Farny, Henry F. - Sorcerer / The - oil on canvas."
0,316,0127.1235,127  1235,Art,Art- Painting,,,Charles C. Schreyvogel,"Schreyvogel, Charles C.",Oil Painting,Breaking through the Line,,0,Oil on Canvas,Overall: 49 x 43 in. (124.5 x 109.2 cm),"Schreyvogel, Charles C. - Breaking through the Line - oil | canvas"
1,553,0127.2000,127  2000,Art,Art- Painting,,,"# Hogue, Alexandre",,Oil Painting,Crucified Land,1939,1939,Oil on Canvas,47 3/8 x 65 1/2 x 1 3/4 in. (120.3 x 166.4 x 4.4 cm),"""Crucified Land"" by Alexandre Hogue, oil on canvas.  Image of a skeletal eroded field bisected by a dry creek bed in the center foreground.  The worn tattered garments of a former scarecrow hang from a tilted cross in the upper left image quadrant.  In th"
0,601,0127.2232,127  2232,Art,Art- Painting,,,William Robinson Leigh,"Leigh, William Robinson",Oil Painting,A Close Call,1914,1914,Oil on Canvas,"Image 40 1/2"" x 60 1/2""","Leigh, William Robinson - A Close Call (1914) - oil on canvas."
6,643,0127.2308,127  2308,Art,Art- Painting,,,Frederic Remington,"Remington, Frederic",Oil Painting,An Episode of the Buffalo Hunt,1908,1908,Oil on Canvas,Overall: 29 1/4 x 26 1/4 x 3 1/2 in. (74.3 x 66.7 x 8.9 cm),"Remington, Frederic - An Episode of the Buffalo Hunt - oil on canvas."
1,653,0127.2329,127  2329,Art,Art- Painting,,,Frederic Remington,"Remington, Frederic",Oil Painting,The Stampede,1908,1908,Oil on Canvas,Overall: 26 1/2 x 39 5/8 x 3 1/4 in. (67.3 x 100.6 x 8.3 cm),"Remington, Frederic - The Stampede - oil on canvas.  Image of an African American cowboy on horseback with stampeding cows in the background.  Rain is pouring and lightning flashes in the dark sky above."
1,762,0127.2513,127  2513,Art,Art- Painting,,,Mary Cassatt,"Cassatt, Mary",Oil Painting,Portrait of an Italian Lady,1879,1879,Oil on Canvas,43 1/2 x 34 x 2 3/4 in. (110.5 x 86.4 x 7 cm),"""Portrait of an Italian Lady"" by Mary Cassatt, subtitled ""Madame Marie Del Sarte."" Oil on canvas.  Image of a seated woman in a black dress with white collar.  She is turned 3/4 to the viewer's left.  The work is unfinished."
1,1348,0137.320,137   320,Art,Art- Painting,,,Joseph Henry Sharp,"Sharp, Joseph Henry",Oil Painting,"Morning in Aspen Forest - Near Taos, Hondo Ca±on",1939-1939,1939,Oil on Canvas,Overall: 29 3/8 x 35 5/8 x 2 3/8 in. (74.6 x 90.5 x 6 cm),"Sharp, Joseph Henry - Morning in Aspen Forest - Near Taos, Hondo Ca±on - oil | canvas Maker's Mark/Inscription: Morning in Aspen Forest-Near Taos, Hondo Ca±on,1939-1940.  Near end of trail to Twining , old mining town. J.H. Sharp, in pencil on dust cover"
1,1525,0137.509,137   509,Art,Art- Painting,,,Joseph Henry Sharp,"Sharp, Joseph Henry",Oil Painting,Studio Visitors,1910-1910,1910,Oil on Canvas,Overall: 29 3/4 x 34 3/4 x 2 1/8 in. (75.6 x 88.3 x 5.4 cm),"Sharp, Joseph Henry - Studio Visitors - oil on canvas.  Maker's Mark/Inscription: On a piece of cardboard, nailed to the frame: -Apaches- (Studion Visitors) Apaches, Utes, Pueblos from along the Rio Grande, others from Oklahoma and the north came to Taos"
1,1541,0137.524,137   524,Art,Art- Painting,,,Oscar Edmund Berninghaus,"Berninghaus, Oscar Edmund",Oil Painting,Too Old For the Rabbit Hunt,1927-1927,1927,Oil on Canvas,Overall: 34 1/2 x 39 5/8 x 2 1/2 in. (87.6 x 100.6 x 6.4 cm),"Berninghaus, Oscar Edmund - Too Old For the Rabbit Hunt - oil | canvas"
1,1549,0137.531,137   531,Art,Art- Painting,,,Ernest Leonard Blumenschein,"Blumenschein, Ernest Leonard",Oil Painting,Superstition,,0,Oil on Canvas,50 1/4 x 49 x 2 1/8 in. (127.6 x 124.5 x 5.4 cm),"Blumenschein, Ernest Leonard - Superstition - oil on canvas.  Image of a seated Native American man holding a dual-spouted vessel.  The wall behind the man is colorfully painted and hung with a ceremonial mask to the viewer's left and a crucifix to the vi"
